Subject	Predicate	Object
https://round4.ng-london.org.uk/ex/lcd/LN6G-KAJI-BBBB-15I6	http://www.cidoc-crm.org/cidoc-crm/E73_refers_to	https://round4.ng-london.org.uk/ex/lcd/SAAW-70N9-H32V-LL5Q
https://round4.ng-london.org.uk/ex/lcd/N638f445c4c9542298d6803bbce3e339c	http://www.cidoc-crm.org/cidoc-crm/P67_refers_to	https://round4.ng-london.org.uk/ex/lcd/0D0E-0001-0000-0000
https://round4.ng-london.org.uk/ex/lcd/0WJ2-TCVT-ADB1-AXRV	http://www.cidoc-crm.org/cidoc-crm/P149_is_identified_by	Nbcb53fefc81d45b99259cfccb22d0de3
https://round4.ng-london.org.uk/ex/lcd/N746f580ca04b476b8f780f94494a913f	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E31_Document
https://round4.ng-london.org.uk/ex/lcd/N41e0a668758e4cb3abed2ff26838a36d	http://www.cidoc-crm.org/cidoc-crm/P67_refers_to	https://round4.ng-london.org.uk/ex/lcd/0D0E-0001-0000-0000
https://round4.ng-london.org.uk/ex/lcd/A7EU-X9JN-S3RB-Y8CR	http://www.cidoc-crm.org/cidoc-crm/P94i_was_created_by	N52b909792df84755991f50c359f28cd9
https://round4.ng-london.org.uk/ex/lcd/N9b79bda1cad04e03ab36c2c23f7a5608	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E31_Document
https://round4.ng-london.org.uk/ex/lcd/N26e6cc04d716427d9d8784ba97500b55	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E31_Document
N166b2594835c43fea0e380eea4b1bb20	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.wikidata.org/entity/Q1144928
https://round4.ng-london.org.uk/ex/lcd/0MRO-0005-0000-0000	http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by	https://round4.ng-london.org.uk/ex/lcd/Y9EW-3LA6-2FMU-MRA2
https://round4.ng-london.org.uk/ex/lcd/N00c8f96c4ea94877880489334f26b327	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E31_Document
https://round4.ng-london.org.uk/ex/lcd/N51fa707283cd4866a250518094148758	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E31_Document
https://round4.ng-london.org.uk/ex/lcd/Q84V-DQOE-WWRJ-EL7V	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
Ne753489f8be84ad0a736e379b796a19c	http://www.cidoc-crm.org/cidoc-crm/P91_has_unit	http://vocab.getty.edu/page/aat/300265869
https://round4.ng-london.org.uk/ex/lcd/57RY-FZZ9-87MI-Y6I7	http://www.cidoc-crm.org/cidoc-crm/P138_represents	https://round4.ng-london.org.uk/ex/lcd/XBIP-IEU5-0HBT-0ZCC
https://round4.ng-london.org.uk/ex/lcd/Nc89eb05ddc2c4d45a3865678183beb72	http://www.cidoc-crm.org/cidoc-crm/P67_refers_to	https://round4.ng-london.org.uk/ex/lcd/0D0E-0001-0000-0000
https://round4.ng-london.org.uk/ex/lcd/N73c6681d9a38468f9668f16830c0ebc4	http://www.cidoc-crm.org/cidoc-crm/P67_refers_to	https://round4.ng-london.org.uk/ex/lcd/0D0E-0001-0000-0000
https://round4.ng-london.org.uk/ex/lcd/54RC-O42D-D7V1-FMGF	http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by	https://round4.ng-london.org.uk/ex/lcd/OLMD-QFTD-B3AJ-K8U7
N7be0cca8e7df4a7e83fbf1a5ff0de3f8	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
https://round4.ng-london.org.uk/ex/lcd/N1d92771ed7364c5faa7e5573500e5fff	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	1982: De Vecchi, Pierluigi. Tout l’oeuvre peint de Raphaël. Paris: Flammarion, 1982 (first edition 1969), no. 100.
https://round4.ng-london.org.uk/ex/lcd/0QTJ-0005-0000-0000	http://www.cidoc-crm.org/cidoc-crm/P165_incorporates	https://round4.ng-london.org.uk/ex/lcd/R9RU-33X8-0JIM-AUCB
N3ba2ec6fc4d3463290baafee8e66bb30	http://www.cidoc-crm.org/cidoc-crm/P82b_end_of_the_end	2004-12-31T00:00:00
https://round4.ng-london.org.uk/ex/lcd/L9AC-4CRF-VMIE-I82O	http://www.cidoc-crm.org/cidoc-crm/P138_represents	https://round4.ng-london.org.uk/ex/lcd/0F8W-0001-0000-0000
https://round4.ng-london.org.uk/ex/lcd/N9c38c842aeb84a3994b17dd83b4f570d	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	1879: Stefani, Federico, Niccolò Barocci, Guglielmo Berchet, and Marco Allegri, eds. I diarii di Marino Sanuto. Venice: F. Visentini, 1879-1903, vol. 17, p. 60; vol. 13, p. 350.
https://round4.ng-london.org.uk/ex/lcd/Q84V-DQOE-WWRJ-EL7V	http://www.cidoc-crm.org/cidoc-crm/E73_refers_to	https://round4.ng-london.org.uk/ex/lcd/0ECO-0001-0000-0000
N52b909792df84755991f50c359f28cd9	http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by	N94b83e8153a244988ac354f0d71a5bff
https://round4.ng-london.org.uk/ex/lcd/7PT9-2SD0-44DD-6AVK	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	Sampling of NG6596
https://round4.ng-london.org.uk/ex/lcd/TPCT-LZC5-FXG4-23SD	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://vocab.getty.edu/page/aat/300379861
https://round4.ng-london.org.uk/ex/lcd/TB15-9CUQ-KXJN-NCMT	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://vocab.getty.edu/page/aat/300266022
https://round4.ng-london.org.uk/ex/lcd/N41e0a668758e4cb3abed2ff26838a36d	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	1995: Shearman, John. “Il mecenatismo di Giulio II e Leone X”. In Arte, committenza ed economia a Roma e nelle corti del Rinascimento: 1420-1530: atti del convegno internazionale Roma 24-27 October 1990, edited by Arnold Esch and Christoph-Luitpold Frommel, 213-242. Turin: Einaudi, 1995.
Ncc83d4c34a2f497d86466f1edd7cc7ca	http://www.cidoc-crm.org/cidoc-crm/P90_has_value	31009
https://round4.ng-london.org.uk/ex/lcd/8NPG-IBO9-1MXJ-9LHR	http://www.cidoc-crm.org/cidoc-crm/P39_measured	https://round4.ng-london.org.uk/ex/lcd/GS0L-Q2X4-EIPR-ORP3
Nc783e5a7494f4148880ed45c24110178	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.wikidata.org/entity/Q1144928
https://round4.ng-london.org.uk/ex/lcd/WAZ4-XZ2N-UZCI-0AIW	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	X-Ray Examination of PE39
N2b4ea31bef9846ad9551f6bb61f8fd05	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E54_Dimension
https://round4.ng-london.org.uk/ex/lcd/54RC-O42D-D7V1-FMGF	http://www.cidoc-crm.org/cidoc-crm/P165_incorporates	https://round4.ng-london.org.uk/ex/lcd/0WIF-XCFE-8NGZ-IVCZ
https://round4.ng-london.org.uk/ex/lcd/Q84V-DQOE-WWRJ-EL7V	http://www.cidoc-crm.org/cidoc-crm/P149_is_identified_by	Neaa51be4a167407bafb25c48c7665ec4
N0799c3f8db5242e89a77795caeb232c1	http://www.cidoc-crm.org/cidoc-crm/P90_has_value	69324
N7be0cca8e7df4a7e83fbf1a5ff0de3f8	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.wikidata.org/entity/Q1144928
https://round4.ng-london.org.uk/ex/lcd/57RY-FZZ9-87MI-Y6I7	http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension	Ne7e94cc0c79c490183e9817ebe08aaf1
https://round4.ng-london.org.uk/ex/lcd/0UYV-0005-0000-0000	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://vocab.getty.edu/page/aat/300266022
https://round4.ng-london.org.uk/ex/lcd/54RC-O42D-D7V1-FMGF	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
Nbfe252386c154bbd8358a44c38d8b985	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
https://round4.ng-london.org.uk/ex/lcd/40FE-XT1I-JTDZ-KJJC	http://www.cidoc-crm.org/cidoc-crm/P39_measured	https://round4.ng-london.org.uk/ex/lcd/8GX8-OJTH-8C5Z-BP3S
https://round4.ng-london.org.uk/ex/lcd/2CDC-MLXN-ISWN-ZB4L	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	Infrared Photography of NG2919
Nb95bb699f8004689a60b6bb37d260202	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	Jill Dunkerton
N477eabef4c474635838a8ed38511f7c1	http://www.cidoc-crm.org/cidoc-crm/P91_has_unit	http://vocab.getty.edu/page/aat/300265869
N816db8af5e2346a8880549acd1cdbf48	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	Compte-rendu n° 5109 (B. Mottin 2004), Archives du C2RMF, Paris, F4727.pdf
https://round4.ng-london.org.uk/ex/lcd/0MRO-0005-0000-0000	http://www.cidoc-crm.org/cidoc-crm/E73_refers_to	https://round4.ng-london.org.uk/ex/lcd/K9HN-ZRAI-ZGQK-SY5P
https://round4.ng-london.org.uk/ex/lcd/N06b0570be4884d4195e77ae194268c9c	http://www.cidoc-crm.org/cidoc-crm/P67_refers_to	https://round4.ng-london.org.uk/ex/lcd/0D0E-0001-0000-0000
https://round4.ng-london.org.uk/ex/lcd/Ne615178acf7543a89d7c4549ec9233be	http://www.cidoc-crm.org/cidoc-crm/P67_refers_to	https://round4.ng-london.org.uk/ex/lcd/0D0E-0001-0000-0000
Ndce70fff9f0548118cf4df0454db45ed	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
https://round4.ng-london.org.uk/ex/lcd/N7ee58326cfdb4efb93865f1256b80de1	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	1971: Dussler, Luitpold. Raphael: a critical catalogue of his pictures, wall-paintings and tapestries. Translated by Sebastian Cruft. London and New York: Phaidon, 1971, pp. 29-30.
https://round4.ng-london.org.uk/ex/lcd/J3M9-1DBD-H0KP-M43N	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	Infrared Reflectography of NG1171
https://round4.ng-london.org.uk/ex/lcd/Nee4ddb284b9049769a11d7e4beba4a86	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E31_Document
N3f79385ffcef4a9daa3a839bc50610c1	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
https://round4.ng-london.org.uk/ex/lcd/NO0V-SFG0-WXZN-TJXN	http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by	https://round4.ng-london.org.uk/ex/lcd/WBXU-ESX9-DG1A-C9KB
https://round4.ng-london.org.uk/ex/lcd/Q84V-DQOE-WWRJ-EL7V	http://www.cidoc-crm.org/cidoc-crm/P138_represents	https://round4.ng-london.org.uk/ex/lcd/0EXM-0001-0000-0000
https://round4.ng-london.org.uk/ex/lcd/MHOS-V106-8MT1-28ZD	http://www.cidoc-crm.org/cidoc-crm/P33_used_specific_technique	http://vocab.getty.edu/page/aat/300419323
https://round4.ng-london.org.uk/ex/lcd/N134db8dc4cbc4231ad82934648043d7e	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	1998: Kempers, Bram. “Julius inter laudem et vituperationem. Ein Papst unter gegensätzlichen Gesichtspunkten betrachtet”. In Hochrenaissance im Vatikan: Kunst und Kultur im Rom der Päpste 1503-1534, exh. cat. Bonn (Kunst- und Ausstellungshalle der Bundesrepublik Deutschland) and Rome (Vatican Museums, Vatican Apostolic Library), 11 December 1998 - 11 April 1999, edited by Petra Kruse, 15-29. Ostfildern : Verlag Gerd Hatje, 1999.
Nbfe252386c154bbd8358a44c38d8b985	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.wikidata.org/entity/Q1144928
https://round4.ng-london.org.uk/ex/lcd/YUJS-JXCN-KTFI-J4UD	http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension	N0921b0843ad0420cab0216f98d73739b
https://round4.ng-london.org.uk/ex/lcd/G3W5-ZM8A-B7QZ-4A0F	http://www.cidoc-crm.org/cidoc-crm/P94i_was_created_by	Nacab862fcf04420daff8f810135a1657
https://round4.ng-london.org.uk/ex/lcd/WOZ3-0IFL-FN33-QRR2	http://www.cidoc-crm.org/cidoc-crm/E73_refers_to	https://round4.ng-london.org.uk/ex/lcd/0EXM-0001-0000-0000
N278632750b4e4cddad540340089bc007	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://vocab.getty.edu/page/aat/300265863
N69264c41b94c429985b93fd0974e02e3	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
https://round4.ng-london.org.uk/ex/lcd/N746f580ca04b476b8f780f94494a913f	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	1975: Gould, Cecil. National Gallery Catalogues: the Sixteenth Century Italian Schools. London: National Gallery, 1975, pp. 208-10.
https://round4.ng-london.org.uk/ex/lcd/G3W5-ZM8A-B7QZ-4A0F	http://www.cidoc-crm.org/cidoc-crm/P102_has_title	Nd6bbbce1414846d5acbd329b37c6f405
N3cc17601d42c42bfaea925dc9788216a	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E52_Time_span
https://round4.ng-london.org.uk/ex/lcd/N14b4cdbba7ff49cdb4ae1d2bb2b6b81e	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	1964: Della Pergola, Paola. “L’inventario Borghese del 1693”. Arte Antica e Moderna 25-26 (1964): 219-30, 451-67; 30 (1965): 202-17.
https://round4.ng-london.org.uk/ex/lcd/N297d7cad5ee74f61adcb07657edfb773	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	2006: Lajoix, Anne. ‘Marie-Victoire Jaquotot, 1772-1855, peintre sur porcelaine’, Archives de l’Art Français, vol. 38, 2006.
Neae8f48e10ba4e76855207d0209f9af7	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
https://round4.ng-london.org.uk/ex/lcd/N38215077dc8d4917a2f6d0c1480cd001	http://www.cidoc-crm.org/cidoc-crm/P1i_identifies	2005: Shaw, Christine. “The motivation for the patronage of pope Julius II”. In Princes and princely culture 1450-1650, vol. 2, edited by Martin Gosman, Alasdair Macdonald, Arjo Vanderjagt, 43-61. Leiden and Boston: Brill, 2005.
Nc38e383f46f542b9914efc3509fd7319	http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by	Na7de6dd5579447d09ee0638d46bcab3c
https://round4.ng-london.org.uk/ex/lcd/RKVH-AS8S-M2DH-EQ2P	http://www.cidoc-crm.org/cidoc-crm/P39_measured	https://round4.ng-london.org.uk/ex/lcd/XBIP-IEU5-0HBT-0ZCC
Ncc83d4c34a2f497d86466f1edd7cc7ca	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://vocab.getty.edu/page/aat/300265863
