Subject,Predicate,Object
https://rdf.ng-london.org.uk/raphael/resource/Hofmann_Provenance_2008_NG168_0017,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Erronously thought to be bought by Sig. Durand before 9 April 1801
https://rdf.ng-london.org.uk/raphael/resource/Morrison_Peggie_Paint_Binding_Medium_NG744_2009,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,"R. Morrison and D. Peggie, ‘Paint Binding Medium Report for NG744’, The Mellon Digital Documentation Project, 2009."
https://rdf.ng-london.org.uk/raphael/resource/Bibliography_Provenance_NG1171,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Select Bibliography for the Provenance of NG1171 and NG6480
https://rdf.ng-london.org.uk/raphael/resource/National_Gallery_of_Art%2C_Object_Detail%2C_Bindo%2C_Literature,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,"National Gallery of Art, Object Detail"
https://rdf.ng-london.org.uk/raphael/resource/Hofmann_Provenance_Part_V_Pieta_2009_0008,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,"London, Sir Thomas Lawrence (b. 1769, d. 1830), who also owned the Allegory and the Three Graces, before 1830"
https://rdf.ng-london.org.uk/raphael/resource/Cooper_Plazzotta_Burlington_2004_NG1171_0003,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,"Early sources for Raphael’s altarpiece in S. Fiorenzo, Perugia"
https://rdf.ng-london.org.uk/raphael/resource/Hofmann_Provenance_Colonna_Part_VI_2009_0047,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,"New York, John Pierpont ‘Jack’ Morgan (b. 1867, d. 1943), 1913"
https://rdf.ng-london.org.uk/raphael/resource/Raphael_NG_exh._cat._2004_NG6480_0001,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Reconstruction of the Predella
https://rdf.ng-london.org.uk/raphael/resource/Raphael_NG_exh._cat._2004_NG3943_0010,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Select Bibliography
https://rdf.ng-london.org.uk/raphael/resource/Hofmann_Provenance_2008_NG2919_Part_I_0016,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Part II
https://rdf.ng-london.org.uk/raphael/resource/Dick_Bridgewater_Support_And_Preparatory_1994_0001,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Original Support
https://rdf.ng-london.org.uk/raphael/resource/Hofmann_Provenance_2008_NG2919_Part_I_0017,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Document 4: Estimate of the main panel
https://rdf.ng-london.org.uk/raphael/resource/Hofmann_Provenance_2008_NG744_0003,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Part 1
https://rdf.ng-london.org.uk/raphael/resource/Raphael_NG_exh._cat._2004_NG3943_0006,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Signorelli’s Martyrdom of Saint Sebastian as Prototype
https://rdf.ng-london.org.uk/raphael/resource/Raphael_Proceedings_2007_NG168_0002,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Cartoon and Underdrawing in Comparison with the Final Painting
https://rdf.ng-london.org.uk/raphael/resource/Raphael_NG_exh._cat._2004_NG744_0006,http://www.cidoc-crm.org/cidoc-crm/P102_Has_Title,Select Bibliography
