Subject,Predicate,Object
https://rdf.ng-london.org.uk/raphael/resource/N-3943-00_inorganic_sample_036, None, https://rdf.ng-london.org.uk/raphael/ontology/RC23.Sample
https://rdf.ng-london.org.uk/raphael/resource/Raphael_S107, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/Hofmann_Provenance_2008_NG213_Part_II_0008, None, https://rdf.ng-london.org.uk/raphael/ontology/RC220.Digital_Text
https://rdf.ng-london.org.uk/raphael/resource/John_Dick, None, https://rdf.ng-london.org.uk/raphael/ontology/RC40.Person
https://rdf.ng-london.org.uk/raphael/resource/N-6596-00-000040, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/_pics_tmp_raphael_files_N-3943_12_Paint_Binding_Medium_, None, https://rdf.ng-london.org.uk/raphael/ontology/RC223.Computer_Path
https://rdf.ng-london.org.uk/raphael/resource/_pics_tmp_raphael_files_N-0027_02_Provenance_Ramdohr_1787_I_, None, https://rdf.ng-london.org.uk/raphael/ontology/RC223.Computer_Path
https://rdf.ng-london.org.uk/raphael/resource/N-0744-00-000067, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/NGA_Bindo_colortrans, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/P4935_008, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/RCL125.Bottom_Edge, None, https://rdf.ng-london.org.uk/raphael/ontology/RC76.Aspect
https://rdf.ng-london.org.uk/raphael/resource/N-6480-00-000026-017, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/P4881_115, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/Raphael_NG_exh._cat._2004_NG2919_0004, None, https://rdf.ng-london.org.uk/raphael/ontology/RC220.Digital_Text
https://rdf.ng-london.org.uk/raphael/resource/Raphael_W136, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/MS_0027s4, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/RCL177.Master, None, https://rdf.ng-london.org.uk/raphael/ontology/RC86.Image_Reference
https://rdf.ng-london.org.uk/raphael/resource/Exhibition_board_envelop, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/_pics_tmp_raphael_files_N-2069_06_Conservation_Dossiers_, None, https://rdf.ng-london.org.uk/raphael/ontology/RC223.Computer_Path
https://rdf.ng-london.org.uk/raphael/resource/Catalogue_Bryan_14_Feb_1800_lot_58, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/P4881_163, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/London, None, https://rdf.ng-london.org.uk/raphael/ontology/RC221.Geographical_Location
https://rdf.ng-london.org.uk/raphael/resource/_pics_tmp_raphael_files_N-0168_16.1_X-Ray_Images_, None, https://rdf.ng-london.org.uk/raphael/ontology/RC223.Computer_Path
https://rdf.ng-london.org.uk/raphael/resource/Raphael_BM_7, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/N-0168-00-000059-001, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/Passavant_1860_II_no.6_p.10, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
https://rdf.ng-london.org.uk/raphael/resource/N1171_00.0000R.004, None, https://rdf.ng-london.org.uk/raphael/ontology/RC25.Image
