Subject	Predicate	Object
ngo:Q84V-DQOE-WWRJ-EL7V	crm:P43_has_dimension	Nc420f4bbe9b845f0aa2572c0e1a9e29b
Nf8ff9ad7a9d848f7aae9cb22c8824e92	crm:P1i_identifies	Ashok Roy
Nf8ff9ad7a9d848f7aae9cb22c8824e92	crm:P2_has_type	crm:E39_Actor
aat:300265863	crm:P1i_identifies	size for computer files@en
ngo:Q84V-DQOE-WWRJ-EL7V	crm:P2_has_type	crm:E73_Information_Object
N8728d20ba9244ebbb228e958772dd1bb	crm:P2_has_type	crm:E42_Identifier
ngo:Q84V-DQOE-WWRJ-EL7V	crm:P2_has_type	rro:RCL199.Support_and_Preparatory_Layers
Nc420f4bbe9b845f0aa2572c0e1a9e29b	crm:P2_has_type	aat:300265863
wd:Q1144928	crm:P1i_identifies	filename@en
N78fde67bbf884187b86fb11508630d2e	crm:P2_has_type	crm:E39_Actor
Nc5058394426e4d9ea4ca9e868ad8117a	crm:P2_has_type	crm:E65_Creation
ngo:N97U-NK8D-BWI6-HJ8Z	crm:P2_has_type	crm:E90_Symbolic_Object
aat:300266022	crm:P1i_identifies	PDF@en
Nb6f6d181233f4f898b71caef4efbb50a	crm:P2_has_type	aat:300379244
Nb6f6d181233f4f898b71caef4efbb50a	crm:P82b_end_of_the_end	2004-12-31T00:00:00
Nc5058394426e4d9ea4ca9e868ad8117a	crm:P14_carried_out_by	N78fde67bbf884187b86fb11508630d2e
ngo:Q84V-DQOE-WWRJ-EL7V	crm:E73_refers_to	ngo:000-02R4-0000
ngo:Q84V-DQOE-WWRJ-EL7V	crm:P2_has_type	rro:RCL202.Pigments_and_Layer_Structure
N8728d20ba9244ebbb228e958772dd1bb	crm:P2_has_type	wd:Q1144928
ngo:Q84V-DQOE-WWRJ-EL7V	crm:P2_has_type	rro:RCL200.Underdrawing_Materials
ngo:Q84V-DQOE-WWRJ-EL7V	crm:E73_refers_to	ngo:000-0432-0000
ngo:Q84V-DQOE-WWRJ-EL7V	crm:E73_refers_to	ngo:000-02VY-0000
aat:300379244	crm:P1i_identifies	years@en
N78fde67bbf884187b86fb11508630d2e	crm:P1i_identifies	Marika Spring
Nc5058394426e4d9ea4ca9e868ad8117a	crm:P4_has_time_span	Nb6f6d181233f4f898b71caef4efbb50a
Nc420f4bbe9b845f0aa2572c0e1a9e29b	crm:P2_has_type	crm:E54_Dimension
ngo:Q84V-DQOE-WWRJ-EL7V	crm:P165_incorporates	ngo:N97U-NK8D-BWI6-HJ8Z
ngo:Q84V-DQOE-WWRJ-EL7V	crm:E73_refers_to	ngo:000-03N5-0000
N7c316899682d4255b84ccba5049de8fc	crm:P1i_identifies	Carol Plazzotta
ngo:Q84V-DQOE-WWRJ-EL7V	crm:E73_refers_to	ngo:000-04S6-0000
Nc420f4bbe9b845f0aa2572c0e1a9e29b	crm:P90_has_value	7034839
ngo:N97U-NK8D-BWI6-HJ8Z	crm:P102_has_title	N17a8796f3e0143fb9ae896823aa71643
ngo:Q84V-DQOE-WWRJ-EL7V	crm:P2_has_type	rro:RCL201.Paint_Binding_Medium
N1f32c69f63174f6fb3f45e6d6d3704b8	crm:P1i_identifies	National Gallery Technical Bulletin
Nb6f6d181233f4f898b71caef4efbb50a	crm:P2_has_type	crm:E52_Time_span
ngo:N97U-NK8D-BWI6-HJ8Z	crm:P94i_was_created_by	Nc5058394426e4d9ea4ca9e868ad8117a
ngo:Q84V-DQOE-WWRJ-EL7V	crm:P2_has_type	aat:300266022
Nc5058394426e4d9ea4ca9e868ad8117a	crm:P14_carried_out_by	Nf8ff9ad7a9d848f7aae9cb22c8824e92
Nc420f4bbe9b845f0aa2572c0e1a9e29b	crm:P91_has_unit	aat:300265869
Nc5058394426e4d9ea4ca9e868ad8117a	crm:P14_carried_out_by	N7c316899682d4255b84ccba5049de8fc
ngo:Q84V-DQOE-WWRJ-EL7V	crm:E73_refers_to	ngo:000-02VC-0000
ngo:Q84V-DQOE-WWRJ-EL7V	crm:P149_is_identified_by	N8728d20ba9244ebbb228e958772dd1bb
N8728d20ba9244ebbb228e958772dd1bb	crm:P1i_identifies	Technical_Bulletin_25_2004_4-35.pdf
N17a8796f3e0143fb9ae896823aa71643	crm:P1i_identifies	Raphael�s Early Work in the National Gallery: Paintings before Rome�
ngo:Q84V-DQOE-WWRJ-EL7V	crm:E73_refers_to	ngo:000-03GL-0000
N17a8796f3e0143fb9ae896823aa71643	crm:P106i_forms_part_of	N1f32c69f63174f6fb3f45e6d6d3704b8
Nb6f6d181233f4f898b71caef4efbb50a	crm:P82a_begin_of_the_begin	2004-01-01T00:00:00
aat:300265869	crm:P1i_identifies	bytes@en
N7c316899682d4255b84ccba5049de8fc	crm:P2_has_type	crm:E39_Actor
