Subject	Predicate	Object
ngo:54RC-O42D-D7V1-FMGF	crm:P138_represents	ngo:8GX8-OJTH-8C5Z-BP3S
ngo:54RC-O42D-D7V1-FMGF	crm:P2_has_type	aat:300266022
N9335b72315094b74bbda879ec39d86ff	rdfs:label	Le Mus�e Cond�
ngo:8NPG-IBO9-1MXJ-9LHR	crm:P2_has_type	crm:E16_Measurement
N29e09dafe9e6410daa552307ba4758a1	crm:P2_has_type	crm:E39_Actor
ngo:Y9EW-3LA6-2FMU-MRA2	crm:P125_used_object_of_type	aat:300182292
N2b815155ec4d4371bc4ba869641422da	crm:P2_has_type	wd:Q1144928
ngo:8NPG-IBO9-1MXJ-9LHR	crm:P39_measured	ngo:GS0L-Q2X4-EIPR-ORP3
ngo:54RC-O42D-D7V1-FMGF	crm:P94i_was_created_by	N6fc887718b5b4e74828cd078bf77e26d
ngo:8NPG-IBO9-1MXJ-9LHR	rdfs:label	Infrared Photography of PE38
ngo:OLMD-QFTD-B3AJ-K8U7	crm:P39_measured	ngo:0F8W-0001-0000-0000
ngo:TPCT-LZC5-FXG4-23SD	crm:P2_has_type	crm:E16_Measurement
ngo:TPCT-LZC5-FXG4-23SD	crm:P39_measured	ngo:XBIP-IEU5-0HBT-0ZCC
ngo:54RC-O42D-D7V1-FMGF	crm:P138_represents	ngo:0F8W-0001-0000-0000
ngo:54RC-O42D-D7V1-FMGF	crm:E73_refers_to	ngo:7BSG-MIHX-WMN9-H39Q
ngo:8NPG-IBO9-1MXJ-9LHR	crm:P32_used_general_technique	aat:300053463
Ne81dbd987aca413389ef74574b91ff4d	crm:P2_has_type	aat:300379244
Ne81dbd987aca413389ef74574b91ff4d	crm:P2_has_type	crm:E52_Time_span
ngo:54RC-O42D-D7V1-FMGF	crm:E73_refers_to	ngo:P9B9-ZU5Y-MJPJ-29GH
aat:300379861	rdfs:label	imaging (image making process)
Nffaa904c5ca1446d8bf93f71cd93f9cb	crm:P106i_forms_part_of	N9335b72315094b74bbda879ec39d86ff
ngo:TPCT-LZC5-FXG4-23SD	crm:P32_used_general_technique	aat:300053463
ngo:Y9EW-3LA6-2FMU-MRA2	crm:P39_measured	ngo:8GX8-OJTH-8C5Z-BP3S
ngo:TPCT-LZC5-FXG4-23SD	crm:P2_has_type	aat:300379861
ngo:54RC-O42D-D7V1-FMGF	crm:P70i_is_documented_in	ngo:AYRO-6FZX-SUBA-G90J
ngo:54RC-O42D-D7V1-FMGF	rdf:type	dig:D1_Digital_Object
