Subject	Predicate	Object
ngo:R03P-4CQ9-RWBY-L468	rdf:type	crm:E24_Physical_Human_Made_Thing
N239d4a67bcd44915bcf57da262e76530	crm:P91_has_unit	aat:300266190
N239d4a67bcd44915bcf57da262e76530	crm:P2_has_type	crm:E54_Dimension
ngo:R03P-4CQ9-RWBY-L468	crm:P43_has_dimension	N3b4390266f554646b19d2b4972397c7d
N5eb63fcd20de4910a822c28e08931cb7	crm:P2_has_type	aat:300265863
N5eb63fcd20de4910a822c28e08931cb7	rdf:type	crm:E54_Dimension
ngo:BECN-6TJY-JP06-6GOL	crm:P1i_is_identified_by	Visual image of NG1171
aat:300215302	rdfs:label	digital images
N1e5d820913f84383ad2842a2c8006ebf	crm:P2_has_type	crm:E36_Visual_Item
N3b4390266f554646b19d2b4972397c7d	crm:P2_has_type	crm:E54_Dimension
aat:300266226	rdfs:label	TIFF
N5eb63fcd20de4910a822c28e08931cb7	crm:P90_has_value	11176442
ngo:ZJCI-TJBM-P72P-2ROL	crm:P2_has_type	crm:E12_Production
ngo:R03P-4CQ9-RWBY-L468	crm:P2i_is_type_of	N0c6d6b289abd473bbe8416149452cda3
ngo:BECN-6TJY-JP06-6GOL	crm:P2_has_type	crm:E36_Visual_Item
N0c6d6b289abd473bbe8416149452cda3	crm:P43_has_dimension	N03f271fae7374506a9cf63213d0ea110
N1e5d820913f84383ad2842a2c8006ebf	rdfs:label	http://cima.ng-london.org.uk/fcgi-bin/iipsrv.fcgi?FIF=/pics/tmp/raphael_pyr/N-1171/05_Related_Works/05.4_Drawings/Frankfurt_Staedel_inv._376-PYR.tif&QLT=75&cnt=1&WID=256&CVT=JPEG
ngo:R03P-4CQ9-RWBY-L468	crm:P2_has_type	crm:E24_Physical_Human_Made_Thing
N03f271fae7374506a9cf63213d0ea110	rdfs:label	Number of pyramidal levels
aat:300055644	rdfs:label	height
ngo:R03P-4CQ9-RWBY-L468	crm:P165_incorporates	ngo:BECN-6TJY-JP06-6GOL
N03f271fae7374506a9cf63213d0ea110	crm:P2_has_type	crm:E54_Dimension
ngo:R03P-4CQ9-RWBY-L468	crm:P2_has_type	aat:300266226
aat:300404387	rdfs:label	creating (artistic activity)
ngo:R03P-4CQ9-RWBY-L468	dig:L56_has_pixel_width	1607
N5eb63fcd20de4910a822c28e08931cb7	crm:P2_has_type	crm:E54_Dimension
N3b4390266f554646b19d2b4972397c7d	crm:P91_has_unit	aat:300265866
N0c6d6b289abd473bbe8416149452cda3	rdfs:label	ng-london/4 Drawings/Frankfurt Staedel inv
ngo:BECN-6TJY-JP06-6GOL	rdf:type	crm:E36_Visual_Item
wd:Q1144928	rdfs:label	filename
aat:300055647	rdfs:label	width
N3b4390266f554646b19d2b4972397c7d	rdf:type	crm:E54_Dimension
aat:300265869	rdfs:label	bytes
ngo:R03P-4CQ9-RWBY-L468	crm:P43_has_dimension	N5eb63fcd20de4910a822c28e08931cb7
wd:Q3411251	rdfs:label	pyramid
N12686cf4ee734c33b01d175a08691942	crm:P2_has_type	aat:300055644
N1e5d820913f84383ad2842a2c8006ebf	rdf:type	crm:E36_Visual_Item
ngo:R03P-4CQ9-RWBY-L468	rdf:type	dig:D1_Digital_Object
ngo:R03P-4CQ9-RWBY-L468	crm:P108i_was_produced_by	ngo:ZJCI-TJBM-P72P-2ROL
N5eb63fcd20de4910a822c28e08931cb7	crm:P91_has_unit	aat:300265869
Nf86b9e5db8a14832bc8b8805ddda443d	rdfs:label	Frankfurt_Staedel_inv._376.tif
ngo:R03P-4CQ9-RWBY-L468	crm:P43_has_dimension	N239d4a67bcd44915bcf57da262e76530
ngo:R03P-4CQ9-RWBY-L468	crm:P130i_features_are_also_found_on	N1e5d820913f84383ad2842a2c8006ebf
aat:300265866	rdfs:label	bits (computing)
N12686cf4ee734c33b01d175a08691942	rdf:type	crm:E54_Dimension
ngo:R03P-4CQ9-RWBY-L468	crm:P2_has_type	aat:300054196
N03f271fae7374506a9cf63213d0ea110	crm:P90_has_value	5.0
ngo:R03P-4CQ9-RWBY-L468	crm:P2_has_type	dig:D1_Digital_Object
N1e5d820913f84383ad2842a2c8006ebf	crm:P2_has_type	wd:Q873806
ngo:R03P-4CQ9-RWBY-L468	dig:L57_has_pixel_height	2318
N3b4390266f554646b19d2b4972397c7d	crm:P2_has_type	aat:300410392
Nf86b9e5db8a14832bc8b8805ddda443d	rdf:type	crm:E42_Identifier
ngo:AYRO-6FZX-SUBA-G90J	rdfs:label	The National Gallery Database
aat:300054196	rdfs:label	drawing (image-making)
wd:Q873806	rdfs:label	thumbnail
ngo:BECN-6TJY-JP06-6GOL	crm:P138_represents	ngo:0FJS-0001-0000-0000
N12686cf4ee734c33b01d175a08691942	crm:P2_has_type	crm:E54_Dimension
ngo:R03P-4CQ9-RWBY-L468	crm:P2_has_type	aat:300215302
ngo:R03P-4CQ9-RWBY-L468	crm:P149_is_identified_by	Nf86b9e5db8a14832bc8b8805ddda443d
N239d4a67bcd44915bcf57da262e76530	crm:P2_has_type	aat:300055647
ngo:R03P-4CQ9-RWBY-L468	crm:P62_depicts	ngo:0FJS-0001-0000-0000
N239d4a67bcd44915bcf57da262e76530	rdf:type	crm:E54_Dimension
aat:300265863	rdfs:label	size for computer files
aat:300266190	rdfs:label	pixels
ngo:R03P-4CQ9-RWBY-L468	crm:P43_has_dimension	N12686cf4ee734c33b01d175a08691942
Nf86b9e5db8a14832bc8b8805ddda443d	crm:P2_has_type	crm:E42_Identifier
N0c6d6b289abd473bbe8416149452cda3	crm:P2_has_type	wd:Q3411251
N12686cf4ee734c33b01d175a08691942	crm:P91_has_unit	aat:300266190
ngo:R03P-4CQ9-RWBY-L468	crm:P70i_is_documented_in	ngo:AYRO-6FZX-SUBA-G90J
Nf86b9e5db8a14832bc8b8805ddda443d	crm:P2_has_type	wd:Q1144928
ngo:ZJCI-TJBM-P72P-2ROL	rdf:type	crm:E12_Production
N3b4390266f554646b19d2b4972397c7d	crm:P2_has_type	wd:Q270159
aat:300410392	rdfs:label	bit depth
N03f271fae7374506a9cf63213d0ea110	rdf:type	crm:E54_Dimension
wd:Q270159	rdfs:label	8-bit
ngo:ZJCI-TJBM-P72P-2ROL	crm:P2_has_type	aat:300404387
