Subject,Predicate,Object
https://round4.ng-london.org.uk/ex/lcd/EV31-BX06-EFB1-U4HZ,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,N559c0b81afe2486c98adcb30c793be51
https://round4.ng-london.org.uk/ex/lcd/UZDN-RABS-L37H-DV49,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,http://www.mnarteantiga-ipmuseus.pt/
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.cidoc-crm.org/cidoc-crm/P90_has_value,87.00
https://round4.ng-london.org.uk/ex/lcd/UZDN-RABS-L37H-DV49,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,http://www.virtualmuseum.info/collections/cHome_fineart.asp
https://round4.ng-london.org.uk/ex/lcd/EV31-BX06-EFB1-U4HZ,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,"Wynn Ellis Bequest, 1876"
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://rdf.ng-london.org.uk/raphael/resource/Chantilly
N1adeed48d86347bda93080be1e6fb677,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://round4.ng-london.org.uk/ex/lcd/NG1171
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,The Madonna and Child
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q6161
https://round4.ng-london.org.uk/ex/lcd/EV31-BX06-EFB1-U4HZ,http://www.cidoc-crm.org/cidoc-crm/P98i_was_born,https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3
https://round4.ng-london.org.uk/ex/lcd/EV31-BX06-EFB1-U4HZ,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,"Rachel Billinge, gained a BA (hons) Engineering Science (1984) from Oxford University and a MA in Conservation and Restoration of Easel Paintings from Newcastle upon Tyne Polytechnic in 1990. After work as a private picture restorer she joined the conservation department of the National Gallery (London) as a Leverhulme Research Fellow in 1991 working on infrared reflectography and the examination of paintings for the Netherlandish and German Schools Catalogues. Technical examination continued as Rausing Research Associate until in 2005 she became a permanent member of the conservation department continuing the technical examination of paintings and conducting research into improvements in infrared imaging techniques."
https://round4.ng-london.org.uk/ex/lcd/EV31-BX06-EFB1-U4HZ,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,N377ce47ab6684f7da41fc348d229c7ab
Ne3e2e21780824dce837e7a41a372f690,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,Senior Scientific Officer
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,Hugo Chapman
https://round4.ng-london.org.uk/ex/lcd/EV31-BX06-EFB1-U4HZ,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,Nc64db66f62884112a8e843807f5de93a
https://round4.ng-london.org.uk/ex/lcd/EV31-BX06-EFB1-U4HZ,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,N5c2bcd9b95314a7297c1c39347ed76a0
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,The Small Cowper Madonna
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,N9f4c3bd33c464777a57fbc0ad8493c73
Nd6fcdc71446c43cca1beb25df320bf2f,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://round4.ng-london.org.uk/ex/lcd/Kunsthistorisches Museum
N04e0cc19110e4fb9b5950a9d9698bf44,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
N50d6602d9e1442d69113d9132a407fb5,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,Raphael
Nfab0d668955c48f5b7bfd77cae4c6149,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://round4.ng-london.org.uk/ex/lcd/NG929
Nb1128a2cda654eca837d65a4198cb968,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://round4.ng-london.org.uk/ex/lcd/Victoria & Albert Museum
Nac59cd6c49844ccb9a7549fda1a83f95,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.cidoc-crm.org/cidoc-crm/P90_has_value,42.00
https://round4.ng-london.org.uk/ex/lcd/EV31-BX06-EFB1-U4HZ,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,Nfab0d668955c48f5b7bfd77cae4c6149
http://vocab.getty.edu/page/aat/300025231,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,partners
Nb6582d7619674372b44e78415a5a3ccf,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://round4.ng-london.org.uk/ex/lcd/Musée Condé
https://round4.ng-london.org.uk/ex/lcd/HO5M-GM3T-KBTH-VST3,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://rdf.ng-london.org.uk/raphael/resource/Perugia
N0acf246c857d4ea19c6e764bfe016275,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://round4.ng-london.org.uk/ex/lcd/Archivio di Stato di Perugia
