Subject	Predicate	Object
N4c86b903bb6d48abbf51c717f99ca3ef	crm:P2_has_type	crm:E35_Title
Nca0b5710712b42199f1856f0cb2eaad5	crm:P82b_end_of_the_end	1505-12-31
ngo:Y4N0-JNGT-MOPV-GWNH	crm:P2_has_type	aat:300404387
N5e66263304e541b7aca68739c6b7b456	crm:P2_has_type	crm:E35_Title
ngo:Y4N0-JNGT-MOPV-GWNH	crm:P4_has_time_span	Nca0b5710712b42199f1856f0cb2eaad5
Nff790be4a4284631bf14f7597f91a21b	crm:P91_has_unit	aat:300379098
N4c86b903bb6d48abbf51c717f99ca3ef	crm:P2_has_type	aat:300417208
N4c86b903bb6d48abbf51c717f99ca3ef	crm:P1i_identifies	The Ansidei Madonna
Ne40baa4b05fb401b91d3905e9b396608	crm:P2_has_type	crm:E57_Material
ngo:000-0432-0000	crm:P45_consists_of	Ne40baa4b05fb401b91d3905e9b396608
aat:300055644	crm:P1i_identifies	height@en
N777869bfa3e545779b600acf2d2eec0b	crm:P2_has_type	aat:300055647
ngo:000-0432-0000	crm:P46_forms_part_of	ngo:ZGSO-VAD2-9Z05-06C8
Ne40baa4b05fb401b91d3905e9b396608	crm:P2_has_type	aat:300012363
N0d8fbc79556941f99318b0e69f3ed02a	crm:P2_has_type	crm:E42_Identifier
Nca0b5710712b42199f1856f0cb2eaad5	crm:P82a_begin_of_the_begin	1505-01-01
aat:300417209	crm:P1i_identifies	full title@en
ngo:Y4N0-JNGT-MOPV-GWNH	crm:P14_carried_out_by	ngo:X49G-D5FL-LLD5-L23X
N777869bfa3e545779b600acf2d2eec0b	crm:P2_has_type	crm:E54_Dimension
N3de8d370b9af4737b2b69adee817d8e1	crm:P2_has_type	aat:300015050
N0d8fbc79556941f99318b0e69f3ed02a	crm:P1i_identifies	ngo:NG1171
aat:300163343	crm:P1i_identifies	media (artists' material)@en
ngo:000-0432-0000	crm:P2_has_type	rro:RCL218.Object
ngo:ZGSO-VAD2-9Z05-06C8	crm:P1i_identifies	rro:The_National_Gallery_Collection
ngo:000-0432-0000	crm:P2_has_type	rro:RCL181.Historical_Information
ngo:ZGSO-VAD2-9Z05-06C8	crm:P2_has_type	crm:E78_Curated_Holding
Nca0b5710712b42199f1856f0cb2eaad5	crm:P2_has_type	aat:300379244
N5e66263304e541b7aca68739c6b7b456	crm:P1i_identifies	The Madonna and Child with Saint John the Baptist and Saint Nicholas of Bari ('The Ansidei Madonna')
ngo:000-0432-0000	crm:P48_has_preferred_identifier	N0d8fbc79556941f99318b0e69f3ed02a
aat:300379098	crm:P1i_identifies	centimeters@en
aat:300015050	crm:P1i_identifies	oil paint (paint)
ngo:000-0432-0000	crm:P2_has_type	rro:RCL182.Art_History
aat:300012363	crm:P1i_identifies	poplar (wood)
ngo:000-0432-0000	crm:P102_has_title	N4c86b903bb6d48abbf51c717f99ca3ef
N777869bfa3e545779b600acf2d2eec0b	crm:P90_has_value	147.60
Nff790be4a4284631bf14f7597f91a21b	crm:P2_has_type	aat:300055644
aat:300417208	crm:P1i_identifies	brief title@en
aat:300379244	crm:P1i_identifies	years@en
N3de8d370b9af4737b2b69adee817d8e1	crm:P2_has_type	aat:300163343
Nca0b5710712b42199f1856f0cb2eaad5	crm:P2_has_type	crm:E52_Time_span
Ne40baa4b05fb401b91d3905e9b396608	crm:P2_has_type	aat:300014844
N3de8d370b9af4737b2b69adee817d8e1	crm:P2_has_type	crm:E57_Material
ngo:Y4N0-JNGT-MOPV-GWNH	crm:P2_has_type	crm:E12_Production
ngo:X49G-D5FL-LLD5-L23X	crm:P2_has_type	crm:E39_Actor
N777869bfa3e545779b600acf2d2eec0b	crm:P91_has_unit	aat:300379098
ngo:000-0432-0000	crm:P45_consists_of	N3de8d370b9af4737b2b69adee817d8e1
Nff790be4a4284631bf14f7597f91a21b	crm:P90_has_value	216.80
Nff790be4a4284631bf14f7597f91a21b	crm:P2_has_type	crm:E54_Dimension
aat:300055647	crm:P1i_identifies	width@en
Nca0b5710712b42199f1856f0cb2eaad5	crm:P1i_identifies	rro:RRR_1505
ngo:000-0432-0000	crm:P2_has_type	crm:E22_Human_Made_Object
ngo:000-0432-0000	crm:P102_has_title	N5e66263304e541b7aca68739c6b7b456
aat:300404387	crm:P1i_identifies	creating (artistic activity)@en
ngo:X49G-D5FL-LLD5-L23X	crm:P1i_identifies	rro:Raphael
ngo:000-0432-0000	crm:P43_has_dimension	N777869bfa3e545779b600acf2d2eec0b
ngo:000-0432-0000	crm:P108i_was_produced_by	ngo:Y4N0-JNGT-MOPV-GWNH
N5e66263304e541b7aca68739c6b7b456	crm:P2_has_type	aat:300417209
aat:300014844	crm:P1i_identifies	supports (artists' materials)@en
ngo:000-0432-0000	crm:P43_has_dimension	Nff790be4a4284631bf14f7597f91a21b
