Subject	Predicate	Object
https://round4.ng-london.org.uk/ex/lcd/WU1S-JHDG-HWR6-8MP7	www.cidoc-crm.org/crmdig/L57_has_pixel_height	1591
N878f6494fa1443f2bda089ed648f8af0	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E54_Dimension
N4656ab619b0e4d42801c3c0f36d57769	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E54_Dimension
https://round4.ng-london.org.uk/ex/lcd/9BOJ-Y51T-HCIZ-JMRC	www.cidoc-crm.org/crmdig/L23_used_software_or_firmware	https://round4.ng-london.org.uk/ex/lcd/XE06-LC28-SMX0-OTVO
https://round4.ng-london.org.uk/ex/lcd/FWNA-9O0D-9E7L-LGZH	http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by	https://round4.ng-london.org.uk/ex/lcd/8HXC-I8JI-ECEK-RAD1
N7bae522d475e4d2995eafcde75a28885	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://vocab.getty.edu/page/aat/300410392
https://round4.ng-london.org.uk/ex/lcd/05KC-UJI5-0P9K-96Q1	http://www.cidoc-crm.org/cidoc-crm/P62_depicts	https://round4.ng-london.org.uk/ex/lcd/0FJS-0001-0000-0000
Ncaa51399b3cf4b1eaa214c2d2d1bf137	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
Naa924649509f4743967bd575ffbad534	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.wikidata.org/entity/Q3411251
N09aaf5a3f31f46afa971072420ef21fa	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://vocab.getty.edu/page/aat/300404629
https://round4.ng-london.org.uk/ex/lcd/5AET-D0Q3-NGP1-6D8E	http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier	Nf5360d4b22b646c89c48b8a568c2542a
https://round4.ng-london.org.uk/ex/lcd/668K-QI90-L1F4-QWDH	http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier	Page 3. of Volume I of Conservation Dossier of NG1171
Nb42a54d91d34459488ff39fb88a5356f	http://www.cidoc-crm.org/cidoc-crm/P91_has_unit	http://vocab.getty.edu/page/aat/300265866
https://round4.ng-london.org.uk/ex/lcd/UX7J-MIMZ-9ZYM-QTW1	www.cidoc-crm.org/crmdig/L22_created_derivative	https://round4.ng-london.org.uk/ex/lcd/YYYN-EKDY-BAA9-2HJI
https://round4.ng-london.org.uk/ex/lcd/I5E4-3Z5R-6QBE-O56C	http://www.cidoc-crm.org/cidoc-crm/P67_refers_to	https://round4.ng-london.org.uk/ex/lcd/UX2T-KJJ5-OIXQ-QMEQ
N0ab44b3630824f0a94e9485ff15cf7ba	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://vocab.getty.edu/page/aat/300410392
https://round4.ng-london.org.uk/ex/lcd/GS97-HOY8-A32Z-KDIC	http://www.cidoc-crm.org/cidoc-crm/P65_shows_visual_item	https://round4.ng-london.org.uk/ex/lcd/LIZV-4O9J-SQBB-04RH
https://round4.ng-london.org.uk/ex/lcd/Y2JB-ZSXD-JZRR-G5ER	http://www.cidoc-crm.org/cidoc-crm/P90_has_value	Ne6709b5aec9e42af98099b73a6d6c74c
https://round4.ng-london.org.uk/ex/lcd/LX20-VRWN-XIDE-6ZIJ	http://www.cidoc-crm.org/cidoc-crm/P70i_is_documented_in	https://round4.ng-london.org.uk/ex/lcd/4CBT-XTB5-GIHR-D7JO
Nc3ee01b58bda4ca593ff1e1dd89abd2b	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E54_Dimension
https://round4.ng-london.org.uk/ex/lcd/PV6I-FICA-18FJ-7BK3	www.cidoc-crm.org/crmdig/L23_used_software_or_firmware	https://round4.ng-london.org.uk/ex/lcd/XE06-LC28-SMX0-OTVO
https://round4.ng-london.org.uk/ex/lcd/Nf376b5ad924b4671a91db91bb0278aca	http://www.cidoc-crm.org/cidoc-crm/P67_refers_to	https://round4.ng-london.org.uk/ex/lcd/8UR9-IMT7-BG9S-6X9A
https://round4.ng-london.org.uk/ex/lcd/Q0OE-E07P-6SDI-VFGZ	http://www.cidoc-crm.org/cidoc-crm/P149_is_identified_by	Ne9625e4e76db412c9ec05777db5c22c2
N22412fba172e41399d131932a1ec5717	http://www.w3.org/2000/01/rdf-schema#label	P4454_013.tif
https://round4.ng-london.org.uk/ex/lcd/S3ET-RQYB-MXDU-24JT	http://www.cidoc-crm.org/cidoc-crm/P67_refers_to	https://round4.ng-london.org.uk/ex/lcd/0EXM-0001-0000-0000
Nb57cbf57ac164679b4f6b3aaea0f5aea	http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier	Nbb532a5d33dc4dbfb9c5bbd3e68cd85a
https://round4.ng-london.org.uk/ex/lcd/BZ62-18VD-ZGST-AKH3	http://www.cidoc-crm.org/cidoc-crm/P70i_is_documented_in	https://round4.ng-london.org.uk/ex/lcd/4CBT-XTB5-GIHR-D7JO
https://round4.ng-london.org.uk/ex/lcd/0EEV-0008-0000-0000	www.cidoc-crm.org/crmdig/L56_has_pixel_width	2724
https://round4.ng-london.org.uk/ex/lcd/XE06-LC28-SMX0-OTVO	http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier	N23e75aae421b49de801011d60d78aaf0
https://round4.ng-london.org.uk/ex/lcd/DCF1-DNFG-L780-73ZC	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://vocab.getty.edu/page/aat/300266226
