Subject,Predicate,Object
https://round4.ng-london.org.uk/ex/lcd/OSRO-CGVQ-DQDN-SGDG,http://www.cidoc-crm.org/cidoc-crm/P82a_begin_of_the_begin,1500-01-01
https://round4.ng-london.org.uk/ex/lcd/7SAR-5G52-FF9K-6GHX,http://www.cidoc-crm.org/cidoc-crm/P45_consists_of,https://round4.ng-london.org.uk/ex/lcd/HKFZ-2EVC-GQXE-MIHB
https://round4.ng-london.org.uk/ex/lcd/000-03GL-0000,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,https://rdf.ng-london.org.uk/raphael/resource/RCL181.Historical_Information
https://round4.ng-london.org.uk/ex/lcd/KVGB-VKRV-URRG-9AUK,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,N0e41925f84d744acaa3f65a33a9f90da
https://round4.ng-london.org.uk/ex/lcd/HVDI-F2X3-E0CF-FQ7K,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://rdf.ng-london.org.uk/raphael/resource/About_1504-1505
https://round4.ng-london.org.uk/ex/lcd/FOIV-G009-NFWK-5076,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q6141
https://round4.ng-london.org.uk/ex/lcd/RBOU-R2O1-MR82-PDKO,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300417209
https://round4.ng-london.org.uk/ex/lcd/Z64M-AFAA-5C72-94FQ,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E54_Dimension
https://round4.ng-london.org.uk/ex/lcd/CD9W-RT5S-OW5Y-OWXZ,http://www.cidoc-crm.org/cidoc-crm/P53_has_former_or_current_location,https://round4.ng-london.org.uk/ex/lcd/MT4D-P3HC-YGQP-95JD
https://round4.ng-london.org.uk/ex/lcd/P1N2-BVXI-E37I-GZPN,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300055647
https://round4.ng-london.org.uk/ex/lcd/000-04JK-0000,http://www.cidoc-crm.org/cidoc-crm/P45_consists_of,https://round4.ng-london.org.uk/ex/lcd/5FC8-AGV2-K1DK-TEG3
http://vocab.getty.edu/page/aat/300011914,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,wood (plant material)
https://round4.ng-london.org.uk/ex/lcd/03VY-MRVY-B476-AVIF,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E35_Title
https://round4.ng-london.org.uk/ex/lcd/FOIV-G009-NFWK-5076,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E52_Time_span
Nb376298ca1c446e48cd52080a015cf49,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier
https://round4.ng-london.org.uk/ex/lcd/V2J9-6V6J-80EE-V5F1,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300011914
https://round4.ng-london.org.uk/ex/lcd/000-02VC-0000,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E78_Curated_Holding
https://round4.ng-london.org.uk/ex/lcd/FOIV-G009-NFWK-5076,http://www.cidoc-crm.org/cidoc-crm/P82b_end_of_the_end,1505-12-31
https://round4.ng-london.org.uk/ex/lcd/X4N3-KFSD-BT5M-2QQ2,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://rdf.ng-london.org.uk/raphael/resource/About_1504-1505
