Subject,Predicate,Object
https://round4.ng-london.org.uk/ex/lcd/A2JU-8ND6-UY4N-49SI,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E35_Title
http://vocab.getty.edu/page/aat/300379098,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,centimeters@en
https://round4.ng-london.org.uk/ex/lcd/Y58B-UU3R-BBVQ-LVPS,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300055647
https://round4.ng-london.org.uk/ex/lcd/CG3B-EUK7-XS3F-UQF3,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300055647
https://round4.ng-london.org.uk/ex/lcd/D34N-DECO-Z0OQ-1BYH,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E35_Title
https://round4.ng-london.org.uk/ex/lcd/J28U-T9TI-S6C9-A4ZC,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300417208
https://round4.ng-london.org.uk/ex/lcd/GDDA-YJPW-RINU-TDHE,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300055647
https://round4.ng-london.org.uk/ex/lcd/ETVC-80QU-3CBG-LWXT,http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension,https://round4.ng-london.org.uk/ex/lcd/6IOP-F6BR-1F0I-GVGQ
https://round4.ng-london.org.uk/ex/lcd/RBOU-R2O1-MR82-PDKO,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,Saint Anthony of Padua
N8174deda7dd84b3cb9671e71df2a8162,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://round4.ng-london.org.uk/ex/lcd/M.1972.2.P
https://round4.ng-london.org.uk/ex/lcd/EEKJ-BHKR-LWDF-KX3C,http://www.cidoc-crm.org/cidoc-crm/P102_has_title,https://round4.ng-london.org.uk/ex/lcd/9D8Z-XJ0U-5KYG-87W4
https://round4.ng-london.org.uk/ex/lcd/OB5S-EXUA-IUSK-SJ9A,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300055647
https://round4.ng-london.org.uk/ex/lcd/VMT6-FS6C-SEDT-LVZX,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E35_Title
https://round4.ng-london.org.uk/ex/lcd/000-02R4-0000,http://www.cidoc-crm.org/cidoc-crm/P46_forms_part_of,https://round4.ng-london.org.uk/ex/lcd/000-02R4-0000
https://round4.ng-london.org.uk/ex/lcd/FHCE-REW8-E7Y5-O6Q1,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E35_Title
https://round4.ng-london.org.uk/ex/lcd/1JUO-5TV4-50GW-O1IE,http://www.cidoc-crm.org/cidoc-crm/P12_was_present_at,https://round4.ng-london.org.uk/ex/lcd/BRKF-26FW-3AHL-GK65
https://round4.ng-london.org.uk/ex/lcd/YDKU-JV96-FF8P-5Y7I,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300012363
Na2bb6ebbb64746f9b9ca000c1dedf557,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://round4.ng-london.org.uk/ex/lcd/NG3943
https://round4.ng-london.org.uk/ex/lcd/F9RD-CIDO-MMVT-BSS1,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300417209
https://round4.ng-london.org.uk/ex/lcd/BKF0-RU19-XBUX-9S8B,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,The Orléans Madonna
https://round4.ng-london.org.uk/ex/lcd/000-0432-0000,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,https://rdf.ng-london.org.uk/raphael/resource/RCL181.Historical_Information
N1f431675328a4a4e8ddb215084c37947,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://round4.ng-london.org.uk/ex/lcd/1937.1.26
https://round4.ng-london.org.uk/ex/lcd/HKCT-0XAP-APV7-YUJF,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E57_Material
https://round4.ng-london.org.uk/ex/lcd/000-019Q-0000,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,https://rdf.ng-london.org.uk/raphael/resource/The_National_Gallery_Collection
https://round4.ng-london.org.uk/ex/lcd/PR7V-NYJH-JN3X-J0U3,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,N96b6d6d56b22488eb58ec6a1a7e0ed15
https://round4.ng-london.org.uk/ex/lcd/B8DH-C4OR-N6ML-AFPK,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300014844
https://round4.ng-london.org.uk/ex/lcd/6ZMF-DE18-W145-SF5C,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://www.cidoc-crm.org/cidoc-crm/E54_Dimension
https://round4.ng-london.org.uk/ex/lcd/3IJX-OYYG-2EW5-8V2X,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,http://vocab.getty.edu/page/aat/300012363
https://round4.ng-london.org.uk/ex/lcd/YBQ6-3Q3J-D5N8-DXDG,http://www.cidoc-crm.org/cidoc-crm/P90_has_value,16.80
