Literal value,Placeholder PID
The Ansidei Madonna,4LQB-KGI7-AGRW-YHUV
The Madonna of the Pinks,3TF0-2MHB-U6OZ-CHD2
NG1171,YFO9-6YQ2-3N7T-XXPN
title of https://rdf.ng-london.org.uk/raphael/resource/NG1171,R4LY-Q1JY-24TT-UK2M
short title of https://rdf.ng-london.org.uk/raphael/resource/NG1171,IJRT-S7CF-CXGO-9ADC
medium of https://rdf.ng-london.org.uk/raphael/resource/NG1171,U1KK-YK1Y-SBQX-3FJ6
height of https://rdf.ng-london.org.uk/raphael/resource/NG3943,070M-GORP-VGSX-Q6QY
width of https://rdf.ng-london.org.uk/raphael/resource/NG3943,F61Z-8VFS-5LE7-9547
title of https://rdf.ng-london.org.uk/raphael/resource/NG3943,YBM8-TWPZ-A692-P6GL
short title of https://rdf.ng-london.org.uk/raphael/resource/NG3943,OKO9-F1PU-MF2Z-2SOK
support material of https://rdf.ng-london.org.uk/raphael/resource/NG3943,6MPC-80Z2-10PB-SNGJ
acquisition of https://rdf.ng-london.org.uk/raphael/resource/NG3943,6TGD-08LQ-EIH7-TINL
production of https://rdf.ng-london.org.uk/raphael/resource/NG3943,4XMK-9VM4-E6DL-W66G
medium of https://rdf.ng-london.org.uk/raphael/resource/NG3943,4RJE-CRA6-302F-L8DR
width of https://rdf.ng-london.org.uk/raphael/resource/NG6480,CG3B-EUK7-XS3F-UQF3
support material of https://rdf.ng-london.org.uk/raphael/resource/NG6480,3FUM-0FWQ-B2N9-OPM8
short title of https://rdf.ng-london.org.uk/raphael/resource/NG6480,014E-2ET8-NAP9-VG3J
height of https://rdf.ng-london.org.uk/raphael/resource/NG6480,8FSZ-ULH8-5AGM-KDGC
acquisition of https://rdf.ng-london.org.uk/raphael/resource/NG6480,IBY8-STZ2-Q3G9-R3DF
production of https://rdf.ng-london.org.uk/raphael/resource/NG6480,NVS9-L838-GZG6-VR3Q
title of https://rdf.ng-london.org.uk/raphael/resource/NG6480,DFD2-S8G3-7AE5-RJZQ
medium of https://rdf.ng-london.org.uk/raphael/resource/NG6480,4HU1-R3RY-S7EZ-3Q1N
medium of https://rdf.ng-london.org.uk/raphael/resource/NG6596,JVSQ-132N-UB4M-RRJQ
acquisition of https://rdf.ng-london.org.uk/raphael/resource/NG6596,KIZG-DJC2-O1FL-KUKJ
short title of https://rdf.ng-london.org.uk/raphael/resource/NG6596,943A-QW4X-8VQ1-668I
title of https://rdf.ng-london.org.uk/raphael/resource/NG6596,Y5VY-Z68N-11JG-WT8U
