Subject	Predicate	Object
N4e3cffec4d8f456a81f669fabe2265e4	rdfs:label	possibly
ngo:DXDZ-P5HR-UVS6-U90Z	crm:P1_is_identified_by	Layer 10 of KMS384
ngo:KS3Z-BO1X-LW12-ZOI0	crm:P148_has_component	ngo:8JY5-41UI-4XK4-L3Y6
ngo:V0HK-FASE-JHR9-JMPI	crm:P2_has_type	sci:S22_Segment_of_Matter
N4e3cffec4d8f456a81f669fabe2265e4	rdf:type	crm:E13_Attribute_Assignment
ngo:DXDZ-P5HR-UVS6-U90Z	crm:P48_has_preferred_identifier	Layer L3 of 4a
ngo:F82P-RBNB-0FAB-XQYG	sci:O25_contains	ngo:YZNT-CPKN-A9RU-K87D
ngo:KS3Z-BO1X-LW12-ZOI0	crm:P148_has_component	ngo:DXDZ-P5HR-UVS6-U90Z
ngo:HDED-9N3W-CJ6Y-ZWM2	rdfs:comment	contains microfossils
ngo:4C8K-EGBZ-7SJK-KOC1	rdf:type	crm:E26_Physical_Feature
ngo:8JY5-41UI-4XK4-L3Y6	crm:P2_has_type	sci:S22_Segment_of_Matter
ngo:FGDZ-7YM9-9GX6-SIFU	rdfs:label	Unknown
ngo:8JY5-41UI-4XK4-L3Y6	crm:P3_has_note	layer consists of multible applications
ngo:8JY5-41UI-4XK4-L3Y6	sci:O25_contains	ngo:HDED-9N3W-CJ6Y-ZWM2
ngo:4C8K-EGBZ-7SJK-KOC1	crm:P2_has_type	crm:E26_Physical_Feature
ngo:F82P-RBNB-0FAB-XQYG	crm:P1_is_identified_by	Layer 10 of KMS384
ngo:FGDZ-7YM9-9GX6-SIFU	rdf:type	crm:E26_Physical_Feature
ngo:6LH3-Z18X-G0OP-2UDW	rdf:type	sci:S22_Segment_of_Matter
ngo:F82P-RBNB-0FAB-XQYG	crm:P2_has_type	aat:300226788
ngo:V0HK-FASE-JHR9-JMPI	rdfs:label	Component C2 of 4a
ngo:F82P-RBNB-0FAB-XQYG	crm:P3_has_note	layer function uncertain
ngo:8JY5-41UI-4XK4-L3Y6	crm:P1_is_identified_by	Layer 10 of KMS384
N001ed161dda74c8fb065e02a80569046	rdfs:label	medium
ngo:6LH3-Z18X-G0OP-2UDW	crm:P2_has_type	sci:S22_Segment_of_Matter
ngo:YZNT-CPKN-A9RU-K87D	crm:P101_had_as_general_use	N001ed161dda74c8fb065e02a80569046
ngo:KUMU-VPIJ-IKMB-SXS8	rdfs:label	Component C3 of 4a
ngo:KUMU-VPIJ-IKMB-SXS8	rdf:type	sci:S22_Segment_of_Matter
N76619be27e5742b4a0a021aead1f646f	crm:P46_is_composed_of	ngo:FGDZ-7YM9-9GX6-SIFU
ngo:KUMU-VPIJ-IKMB-SXS8	crm:P2_has_type	sci:S22_Segment_of_Matter
ngo:4C8K-EGBZ-7SJK-KOC1	rdfs:label	yellow
ngo:M454-O6XH-M97L-PLVQ	rdf:type	sci:S22_Segment_of_Matter
ngo:DXDZ-P5HR-UVS6-U90Z	crm:P3_has_note	layer function uncertain
ngo:DXDZ-P5HR-UVS6-U90Z	sci:O25_contains	ngo:V0HK-FASE-JHR9-JMPI
ngo:F82P-RBNB-0FAB-XQYG	crm:P2_has_type	sci:S22_Segment_of_Matter
ngo:DXDZ-P5HR-UVS6-U90Z	crm:P2_has_type	aat:300226788
ngo:M454-O6XH-M97L-PLVQ	crm:P2_has_type	sci:S22_Segment_of_Matter
ngo:8JY5-41UI-4XK4-L3Y6	rdf:type	sci:S22_Segment_of_Matter
ngo:8JY5-41UI-4XK4-L3Y6	crm:P48_has_preferred_identifier	Layer L2 of 4a
ngo:YZNT-CPKN-A9RU-K87D	rdfs:comment	possibly the sizing layer
ngo:8JY5-41UI-4XK4-L3Y6	rdfs:label	Layer L2 of 4a
N4e3cffec4d8f456a81f669fabe2265e4	crm:P140_assigned_attribute_to	N001ed161dda74c8fb065e02a80569046
ngo:HDED-9N3W-CJ6Y-ZWM2	rdfs:label	Component C1 of 4a
ngo:DXDZ-P5HR-UVS6-U90Z	rdfs:label	Layer L3 of 4a
ngo:HDED-9N3W-CJ6Y-ZWM2	rdf:type	sci:S22_Segment_of_Matter
ngo:HDED-9N3W-CJ6Y-ZWM2	crm:P2_has_type	sci:S22_Segment_of_Matter
ngo:8JY5-41UI-4XK4-L3Y6	sci:O25_contains	ngo:M454-O6XH-M97L-PLVQ
ngo:DXDZ-P5HR-UVS6-U90Z	rdf:type	sci:S22_Segment_of_Matter
ngo:F82P-RBNB-0FAB-XQYG	crm:P48_has_preferred_identifier	Layer L1 of 4a
ngo:YZNT-CPKN-A9RU-K87D	crm:P56_bears_feature	N76619be27e5742b4a0a021aead1f646f
ngo:M454-O6XH-M97L-PLVQ	rdfs:label	Component C2 of 4a
ngo:DXDZ-P5HR-UVS6-U90Z	sci:O25_contains	ngo:KUMU-VPIJ-IKMB-SXS8
aat:300127794	rdfs:label	yellow (color)
ngo:DXDZ-P5HR-UVS6-U90Z	crm:P2_has_type	sci:S22_Segment_of_Matter
aat:300226788	rdfs:label	layers (components)
ngo:F82P-RBNB-0FAB-XQYG	rdfs:label	Layer L1 of 4a
ngo:6LH3-Z18X-G0OP-2UDW	rdfs:label	Component C1 of 4a
N76619be27e5742b4a0a021aead1f646f	rdf:type	crm:E26_Physical_Feature
ngo:KS3Z-BO1X-LW12-ZOI0	crm:P148_has_component	ngo:F82P-RBNB-0FAB-XQYG
N76619be27e5742b4a0a021aead1f646f	crm:P2_has_type	crm:E26_Physical_Feature
ngo:FGDZ-7YM9-9GX6-SIFU	crm:P2_has_type	crm:E26_Physical_Feature
ngo:YZNT-CPKN-A9RU-K87D	rdfs:label	Component C1 of 4a
ngo:YZNT-CPKN-A9RU-K87D	rdf:type	sci:S22_Segment_of_Matter
ngo:8JY5-41UI-4XK4-L3Y6	crm:P2_has_type	aat:300226788
ngo:YZNT-CPKN-A9RU-K87D	crm:P2_has_type	sci:S22_Segment_of_Matter
ngo:4C8K-EGBZ-7SJK-KOC1	crm:P2_has_type	aat:300127794
ngo:F82P-RBNB-0FAB-XQYG	rdf:type	sci:S22_Segment_of_Matter
ngo:DXDZ-P5HR-UVS6-U90Z	sci:O25_contains	ngo:6LH3-Z18X-G0OP-2UDW
N76619be27e5742b4a0a021aead1f646f	crm:P46_is_composed_of	ngo:4C8K-EGBZ-7SJK-KOC1
ngo:V0HK-FASE-JHR9-JMPI	rdf:type	sci:S22_Segment_of_Matter
