Subject	Predicate	Object
ngo:0EWJ-0001-0000-0000	crm:P59_has_section	N3467f2e1c3d2445f884269a2d3ce670c
N0e4ddf145ff044338cfc4b8d1d808c17	crm:P2_has_type	crm:E31_Document
N4ed8dc066f5c49cea7527a509709ba65	crm:P2_has_type	aat:300443464
ngo:ZHGN-BO02-WZ3E-UWC3	crm:P108i_was_produced_by	ngo:Q8DP-NPG5-UE0M-GO13
N0b9eff86db884c28997e41884d7610f1	crm:P70_is_documented_in	N0e4ddf145ff044338cfc4b8d1d808c17
ngo:WLTN-O3MV-PTQH-4CHX	rdfs:label	Example NG Staff Member
aat:300034254	rdfs:label	cross sections
N3467f2e1c3d2445f884269a2d3ce670c	crm:P2_has_type	aat:300241583
N0b9eff86db884c28997e41884d7610f1	crm:P14_carried_out_by	ngo:WLTN-O3MV-PTQH-4CHX
ngo:ZHGN-BO02-WZ3E-UWC3	crm:P138_represents	ngo:0EWJ-0001-0000-0000
Nfa3f79fc4aeb45f7aec7619ce6197e25	crm:P2_has_type	wd:Q1710397
ngo:ZHGN-BO02-WZ3E-UWC3	crm:P2_has_type	sci:S13_Sample
ngo:Q8DP-NPG5-UE0M-GO13	rdfs:label	Cross Section Sampling of NG6480
ngo:ZHGN-BO02-WZ3E-UWC3	rdf:type	sci:S13_Sample
ngo:ZHGN-BO02-WZ3E-UWC3	crm:P2_has_type	aat:300028875
aat:300028875	rdfs:label	samples
aat:300025820	rdfs:label	conservation scientist
aat:300241583	rdfs:label	components (object part)
aat:300379861	rdfs:label	imaging (image making process)
Nfa3f79fc4aeb45f7aec7619ce6197e25	rdfs:comment	Actual textual content detailing the reason or purpose of the annotation
N3467f2e1c3d2445f884269a2d3ce670c	crm:P2_has_type	crm:E53_Place
N3467f2e1c3d2445f884269a2d3ce670c	rdf:type	crm:E53_Place
wd:Q1710397	rdfs:label	reason
N0b9eff86db884c28997e41884d7610f1	sci:O4_sampled_at	N3467f2e1c3d2445f884269a2d3ce670c
ngo:Q8DP-NPG5-UE0M-GO13	crm:P2_has_type	aat:300379861
ngo:ZHGN-BO02-WZ3E-UWC3	sci:O18i_was_altered_by	N4ed8dc066f5c49cea7527a509709ba65
ngo:ZHGN-BO02-WZ3E-UWC3	crm:P3_has_note	ab
N0e4ddf145ff044338cfc4b8d1d808c17	rdfs:comment	Actual textual content describing the sampling process
N0b9eff86db884c28997e41884d7610f1	sci:O3_sampled_from	ngo:0EWJ-0001-0000-0000
N0b9eff86db884c28997e41884d7610f1	rdf:type	sci:S2_Sample_Taking
N4ed8dc066f5c49cea7527a509709ba65	crm:P2_has_type	sci:S18_Alteration
N4ed8dc066f5c49cea7527a509709ba65	rdf:type	sci:S18_Alteration
N0b9eff86db884c28997e41884d7610f1	crm:P2_has_type	sci:S2_Sample_Taking
ngo:Q8DP-NPG5-UE0M-GO13	rdf:type	crm:E16_Measurement
N0b9eff86db884c28997e41884d7610f1	crm:P70_is_documented_in	Nfa3f79fc4aeb45f7aec7619ce6197e25
aat:300443464	rdfs:label	embedding
ngo:WLTN-O3MV-PTQH-4CHX	rdf:type	crm:E21_Person
ngo:Q8DP-NPG5-UE0M-GO13	crm:P2_has_type	crm:E16_Measurement
ngo:WLTN-O3MV-PTQH-4CHX	crm:P2_has_type	crm:E21_Person
Nfa3f79fc4aeb45f7aec7619ce6197e25	crm:P2_has_type	crm:E31_Document
Nfa3f79fc4aeb45f7aec7619ce6197e25	rdf:type	crm:E31_Document
ngo:Q8DP-NPG5-UE0M-GO13	crm:P39_measured	ngo:0EWJ-0001-0000-0000
N3467f2e1c3d2445f884269a2d3ce670c	rdfs:label	ab
N0e4ddf145ff044338cfc4b8d1d808c17	rdf:type	crm:E31_Document
N0e4ddf145ff044338cfc4b8d1d808c17	crm:P2_has_type	wd:Q1200750
N0b9eff86db884c28997e41884d7610f1	sci:O5_removed	ngo:ZHGN-BO02-WZ3E-UWC3
ngo:Q8DP-NPG5-UE0M-GO13	crm:P32_used_general_technique	aat:300034254
ngo:WLTN-O3MV-PTQH-4CHX	crm:P2_has_type	aat:300025820
wd:Q1200750	rdfs:label	description
