Subject,Predicate,Object
None, https://rdf.ng-london.org.uk/raphael/ontology/RP16.has_height_in_cm, 216.80
None, https://rdf.ng-london.org.uk/raphael/ontology/RP34.has_title, The Madonna and Child with Saint John the Baptist and Saint Nicholas of Bari ('The Ansidei Madonna')
None, https://rdf.ng-london.org.uk/raphael/ontology/RP31.has_short_title, The Ansidei Madonna
None, https://rdf.ng-london.org.uk/raphael/ontology/RP31.has_short_title, The Ansidei Madonna
None, https://rdf.ng-london.org.uk/raphael/ontology/RP20.has_medium, https://rdf.ng-london.org.uk/raphael/resource/Drying_Oil
None, https://rdf.ng-london.org.uk/raphael/ontology/RP24.has_owner, https://rdf.ng-london.org.uk/raphael/resource/The_National_Gallery
None, https://rdf.ng-london.org.uk/raphael/ontology/RP9.has_curator, https://rdf.ng-london.org.uk/raphael/resource/Carol_Plazzotta
None, https://rdf.ng-london.org.uk/raphael/ontology/RP32.has_support, https://rdf.ng-london.org.uk/raphael/resource/Poplar_Panel
None, https://rdf.ng-london.org.uk/raphael/ontology/RP10.has_current_location, https://rdf.ng-london.org.uk/raphael/resource/Room_8
None, https://rdf.ng-london.org.uk/raphael/ontology/RP17.has_identifier, NG1171
None, https://rdf.ng-london.org.uk/raphael/ontology/RP98.is_in_project_category, https://rdf.ng-london.org.uk/raphael/resource/RCL181.Historical_Information
None, https://rdf.ng-london.org.uk/raphael/ontology/RP98.is_in_project_category, https://rdf.ng-london.org.uk/raphael/resource/RCL182.Art_History
None, https://rdf.ng-london.org.uk/raphael/ontology/RP231I.has_the_display_image, https://rdf.ng-london.org.uk/raphael/resource/N-1171-00-000049-WZ-PYR
None, https://rdf.ng-london.org.uk/raphael/ontology/RP99.is_part_of, https://rdf.ng-london.org.uk/raphael/resource/The_National_Gallery_Collection
None, https://rdf.ng-london.org.uk/raphael/ontology/RP36.has_width_in_cm, 147.60
None, https://rdf.ng-london.org.uk/raphael/ontology/RP98.is_in_project_category, https://rdf.ng-london.org.uk/raphael/resource/RCL218.Object
None, https://rdf.ng-london.org.uk/raphael/ontology/RP68.was_acquired, https://rdf.ng-london.org.uk/raphael/resource/Acquisition_of_NG1171_by_The_National_Gallery
None, https://rdf.ng-london.org.uk/raphael/ontology/RP68.was_acquired, https://rdf.ng-london.org.uk/raphael/resource/Acquisition_of_NG1171_by_The_National_Gallery
None, https://rdf.ng-london.org.uk/raphael/ontology/RP72.was_produced, https://rdf.ng-london.org.uk/raphael/resource/Production_of_NG1171_by_Raphael
