Subject	Predicate	Object
ngo:Y4M5-2P4X-GYFR-9WJP	crm:P138_represents	ngo:0D0E-0001-0000-0000
ngo:MNEA-GXYR-WR13-5W4S	crm:P2_has_type	crm:E16_Measurement
ngo:MNEA-GXYR-WR13-5W4S	crm:P39_measured	ngo:0D0E-0001-0000-0000
aat:300379861	rdfs:label	imaging (image making process)
aat:300443464	rdfs:label	embedding
ngo:Y4M5-2P4X-GYFR-9WJP	rdfs:label	N-0027-00_inorganic_sample_012
ngo:WLTN-O3MV-PTQH-4CHX	rdf:type	crm:E21_Person
ngo:Y4M5-2P4X-GYFR-9WJP	crm:P2_has_type	sci:S13_Sample
ngo:Y4M5-2P4X-GYFR-9WJP	sci:O25i_is_contained_in	ngo:0D0E-0001-0000-0000
N1c244cd259cc4bcdb8efc94652ec0290	sci:O5_removed	ngo:Y4M5-2P4X-GYFR-9WJP
ngo:MNEA-GXYR-WR13-5W4S	crm:P2_has_type	aat:300379861
ngo:WLTN-O3MV-PTQH-4CHX	crm:P2_has_type	aat:300025820
N1c244cd259cc4bcdb8efc94652ec0290	sci:O3_sampled_from	ngo:0D0E-0001-0000-0000
N1c244cd259cc4bcdb8efc94652ec0290	sci:O4_sampled_at	N3017590f9ff54ca4b46ccdeac8e55903
ngo:Y4M5-2P4X-GYFR-9WJP	rdf:type	sci:S13_Sample
Nb23f47ae7f2543c99655735df33b2b6f	crm:P2_has_type	crm:E13_Attribute_Assignment
ngo:MNEA-GXYR-WR13-5W4S	rdfs:label	Cross Section Sampling of NG27
N1c244cd259cc4bcdb8efc94652ec0290	crm:P14_carried_out_by	ngo:WLTN-O3MV-PTQH-4CHX
ngo:WLTN-O3MV-PTQH-4CHX	crm:P2_has_type	crm:E21_Person
Nb23f47ae7f2543c99655735df33b2b6f	crm:P2_has_type	aat:300443464
N3c49ba4a0b3c411eb0f28315f97a70e1	crm:P2_has_type	wd:Q1710397
N3017590f9ff54ca4b46ccdeac8e55903	crm:P2_has_type	aat:300241583
N3017590f9ff54ca4b46ccdeac8e55903	rdfs:label	Crimson of cope shadow above right hand 110x
aat:300241583	rdfs:label	components (object part)
ngo:Y4M5-2P4X-GYFR-9WJP	crm:P108i_was_produced_by	ngo:MNEA-GXYR-WR13-5W4S
N1c244cd259cc4bcdb8efc94652ec0290	crm:P70_is_documented_in	N3c49ba4a0b3c411eb0f28315f97a70e1
Nb23f47ae7f2543c99655735df33b2b6f	crm:P140_assigned_attribute_to	ngo:Y4M5-2P4X-GYFR-9WJP
Nb23f47ae7f2543c99655735df33b2b6f	crm:P16_used_specific_object	aat:300014533
N3c49ba4a0b3c411eb0f28315f97a70e1	rdfs:comment	As part of a general technical examination of the painting - documenting the material and techniques used in its production.
ngo:Y4M5-2P4X-GYFR-9WJP	crm:P2_has_type	aat:300034254
N3017590f9ff54ca4b46ccdeac8e55903	rdf:type	crm:E53_Place
aat:300014533	rdfs:label	epoxy resin
N1c244cd259cc4bcdb8efc94652ec0290	rdfs:comment	Actual textual content describing the sampling process
N1c244cd259cc4bcdb8efc94652ec0290	rdf:type	sci:S2_Sample_Taking
Nb23f47ae7f2543c99655735df33b2b6f	crm:P177_assigned_property_of_type	aat:300034254
N1c244cd259cc4bcdb8efc94652ec0290	crm:P2_has_type	sci:S2_Sample_Taking
ngo:Y4M5-2P4X-GYFR-9WJP	crm:P2_has_type	aat:300028875
aat:300034254	rdfs:label	cross sections
N3017590f9ff54ca4b46ccdeac8e55903	crm:P2_has_type	crm:E53_Place
ngo:WLTN-O3MV-PTQH-4CHX	rdfs:label	Example NG Staff Member
aat:300028875	rdfs:label	samples
aat:300025820	rdfs:label	conservation scientist
ngo:MNEA-GXYR-WR13-5W4S	rdf:type	crm:E16_Measurement
ngo:MNEA-GXYR-WR13-5W4S	crm:P32_used_general_technique	aat:300034254
N3c49ba4a0b3c411eb0f28315f97a70e1	rdf:type	crm:E31_Document
N3c49ba4a0b3c411eb0f28315f97a70e1	crm:P2_has_type	crm:E31_Document
ngo:Y4M5-2P4X-GYFR-9WJP	sci:O18i_was_altered_by	Nb23f47ae7f2543c99655735df33b2b6f
ngo:0D0E-0001-0000-0000	crm:P59_has_section	N3017590f9ff54ca4b46ccdeac8e55903
Nb23f47ae7f2543c99655735df33b2b6f	rdf:type	sci:S18_Alteration
Nb23f47ae7f2543c99655735df33b2b6f	crm:P2_has_type	sci:S18_Alteration
wd:Q1710397	rdfs:label	reason
