Subject	Predicate	Object
ngo:M9OM-3A5O-6RCT-O1Z3	crm:P130i_features_are_also_found_on	Nb53e9e787d604d1dbc87d8d24565a097
ngo:BECN-6TJY-JP06-6GOL	crm:P1i_is_identified_by	Visual image of NG1171
ngo:BECN-6TJY-JP06-6GOL	crm:P138_represents	ngo:0FJS-0001-0000-0000
wd:Q873806	rdfs:label	thumbnail
ngo:M9OM-3A5O-6RCT-O1Z3	crm:P149_is_identified_by	N67201fd0b49342fda89664a0b1696f0b
Nd9bc3d91d9294646ab4e5145dc5ac769	crm:P2_has_type	wd:Q3411251
ngo:M9OM-3A5O-6RCT-O1Z3	crm:P43_has_dimension	N1d46c0cb1e6f43d2b0f1bcf782ca9ee4
ngo:M9OM-3A5O-6RCT-O1Z3	crm:P43_has_dimension	Nb658ced3259a4fc08412a33d9fb6136b
ngo:O9U2-11Y0-BFTZ-7SQW	rdf:type	crm:E16_Measurement
N1ca9591f2f6a49d6911668fe1f89d6f8	crm:P2_has_type	aat:300055644
aat:300265869	rdfs:label	bytes
N1d46c0cb1e6f43d2b0f1bcf782ca9ee4	crm:P2_has_type	aat:300410392
Nb658ced3259a4fc08412a33d9fb6136b	crm:P90_has_value	49805768
Nb53e9e787d604d1dbc87d8d24565a097	crm:P2_has_type	wd:Q873806
Ndf7a5e4882d046fabb3a0ca58c98ebc8	crm:P2_has_type	aat:300055647
aat:300055647	rdfs:label	width
Nbe5939fdbc37458e86da5b3335fd4b61	crm:P90_has_value	6.0
ngo:M9OM-3A5O-6RCT-O1Z3	crm:P2_has_type	dig:D1_Digital_Object
wd:Q3411251	rdfs:label	pyramid
N67201fd0b49342fda89664a0b1696f0b	crm:P2_has_type	crm:E42_Identifier
N1d46c0cb1e6f43d2b0f1bcf782ca9ee4	crm:P91_has_unit	aat:300265866
aat:300266226	rdfs:label	TIFF
ngo:AYRO-6FZX-SUBA-G90J	rdfs:label	The National Gallery Database
ngo:O9U2-11Y0-BFTZ-7SQW	rdfs:label	X-Ray Examination of NG1171
ngo:M9OM-3A5O-6RCT-O1Z3	dig:L56_has_pixel_width	4246
aat:300419323	rdfs:label	x-radiography
aat:300265863	rdfs:label	size for computer files
Nbe5939fdbc37458e86da5b3335fd4b61	crm:P2_has_type	crm:E54_Dimension
ngo:M9OM-3A5O-6RCT-O1Z3	crm:P165_incorporates	ngo:BECN-6TJY-JP06-6GOL
aat:300055644	rdfs:label	height
ngo:M9OM-3A5O-6RCT-O1Z3	crm:P2i_is_type_of	Nd9bc3d91d9294646ab4e5145dc5ac769
